Timestamp,Milliseconds,X,Y,Z
2018-09-15 19:27:28,3402,-10.6026,1.5409851,25.445282
2018-09-15 19:27:28,3412,-1.076767,2.3784637,14.646469
2018-09-15 19:27:28,3423,1.9597168,3.3212433,6.661621
2018-09-15 19:27:28,3432,8.903687,3.7328033,-2.1870422
2018-09-15 19:27:28,3442,15.701706,3.5868378,-8.379669
2018-09-15 19:27:28,3452,17.654251,3.6993103,-11.892334
2018-09-15 19:27:28,3463,17.07518,5.728424,-22.121643
2018-09-15 19:27:28,3472,16.773682,4.967499,-25.423737
2018-09-15 19:27:28,3482,15.692139,4.816757,-25.363922
2018-09-15 19:27:28,3492,12.988235,4.9914246,-21.564117
2018-09-15 19:27:28,3502,9.360718,3.871582,-15.311676
2018-09-15 19:27:28,3513,5.170883,3.2063751,-9.013763
2018-09-15 19:27:28,3522,1.1605225,3.2183533,-2.967102
2018-09-15 19:27:28,3532,-5.441284,2.7637177,7.5684967
2018-09-15 19:27:28,3542,-9.877579,1.7132568,17.350357
2018-09-15 19:27:28,3552,-10.669601,1.524231,20.21457
2018-09-15 19:27:28,3562,-7.412964,2.273178,22.676788
2018-09-15 19:27:28,3572,-2.766098,1.9477539,18.175888
2018-09-15 19:27:28,3583,2.3042908,3.259018,10.102493
2018-09-15 19:27:28,3592,8.386841,3.8859406,2.555542
2018-09-15 19:27:28,3602,15.639496,3.809372,-7.3459625
2018-09-15 19:27:28,3612,18.908081,3.4695892,-15.862015
2018-09-15 19:27:28,3622,18.747772,4.1443634,-21.954147
2018-09-15 19:27:28,3633,18.73819,4.194626,-25.99562
2018-09-15 19:27:28,3642,18.250061,5.058426,-26.026733
2018-09-15 19:27:28,3652,17.175674,4.811966,-22.904099
2018-09-15 19:27:28,3662,12.990631,4.960327,-17.391037
2018-09-15 19:27:28,3672,8.097305,4.484146,-11.801407
2018-09-15 19:27:28,3683,1.8017883,2.9742737,-2.8570251
2018-09-15 19:27:28,3692,-3.7184448,2.4382935,4.845459
2018-09-15 19:27:28,3702,-9.2482605,2.2348938,12.710678
2018-09-15 19:27:28,3712,-11.736801,1.763504,17.931808
2018-09-15 19:27:28,3722,-9.341583,1.6199341,20.080566
2018-09-15 19:27:28,3733,-3.5389862,2.2061768,17.73082
2018-09-15 19:27:28,3742,3.4815521,3.2303162,11.8085785
2018-09-15 19:27:28,3753,10.753342,3.7902374,4.62294
2018-09-15 19:27:28,3762,16.66362,4.496109,-3.2063751
2018-09-15 19:27:28,3772,19.709686,5.0416718,-12.832703
